Ref	x	y	Connectivity	Point First Moment	Point Second Moment
524355	0.96	7.48	74	12.493398	2.5792
524356	0.96	7.52	74	13.893401	3.1024001
524358	0.96	7.6	71	14.112141	3.536
524359	0.96	7.64	98	32.997417	18.627199
524360	0.96	7.68	107	37.744858	21.912001
524361	0.96	7.72	96	29.768179	15.5696
524362	0.96	7.76	73	14.958081	3.9247999
589832	1	5.12	174	65.324028	31.7024
589833	1	5.16	191	80.142052	50.982399
589834	1	5.2	196	86.54007	63.283199
589835	1	5.24	185	71.888695	46.6544
589836	1	5.28	168	52.231857	23.878401
589837	1	5.32	162	46.649288	18.4704
589838	1	5.36	155	43.29681	16.132799
589839	1	5.4	152	43.631756	16.4608
589840	1	5.44	147	43.177715	15.8464
589841	1	5.48	146	45.879856	17.52
589843	1	5.56	212	107.25992	67.764801
589844	1	5.6	216	101.99606	61.403198
589845	1	5.64	220	100.21715	60.7136
589846	1	5.68	230	100.38043	58.627201
589847	1	5.72	241	106.37511	65.305603
589848	1	5.76	241	99.900703	55.569599
589849	1	5.8	252	105.71748	60.641602
589850	1	5.84	256	105.91825	59.209599
589851	1	5.88	264	109.86177	61.683201
589852	1	5.92	281	125.52368	78.787201
589853	1	5.96	414	484.10068	1121.304
589854	1	6	427	514.89673	1218.8016
589855	1	6.04	253	99.349129	51.179199
589856	1	6.08	240	90.816658	44.7328
589857	1	6.12	233	88.308632	43.911999
589858	1	6.16	229	89.718727	47.023998
589859	1	6.2	225	91.70388	50.416
589860	1	6.24	224	95.526314	54.923199
589861	1	6.28	222	99.456749	59.547199
589862	1	6.32	221	105.13754	66.409599
589863	1	6.36	218	109.76509	72.201599
589864	1	6.4	218	116.79842	80.283203
589865	1	6.44	38	6.3326063	1.3472
589866	1	6.48	39	5.4957714	1.008
589867	1	6.52	68	19.654495	9.8448
589868	1	6.56	47	6.4240294	1.1440001
589869	1	6.6	42	5.0604815	0.72000003
589870	1	6.64	43	5.5340395	0.83359998
589871	1	6.68	41	5.8814182	1.0048
589872	1	6.72	39	5.7991133	1.112
589873	1	6.76	38	6.1722555	1.3552001
589874	1	6.8	69	27.144375	17.591999
589880	1	7.04	83	17.990992	4.8112001
589881	1	7.08	85	16.966961	4.2816
589882	1	7.12	131	51.405739	33.8176
589883	1	7.16	127	48.663898	31.766399
589884	1	7.2	84	16.444794	4.0560002
589885	1	7.24	77	15.48338	3.7423999
589887	1	7.32	71	13.650023	3.1487999
589888	1	7.36	71	12.374516	2.688
589889	1	7.4	71	11.717723	2.4576001
589890	1	7.44	71	11.717723	2.4576001
589891	1	7.48	71	12.374516	2.688
589892	1	7.52	74	14.837963	3.6256001
589894	1	7.6	72	14.669329	3.6896
589895	1	7.64	99	33.070095	17.879999
589896	1	7.68	109	37.3717	20.3248
589897	1	7.72	92	25.653166	11.376
589898	1	7.76	76	16.4391	4.4688001
655368	1.04	5.12	185	70.707703	36.068802
655369	1.04	5.16	200	82.991837	52.3008
655370	1.04	5.2	203	87.04554	61.891201
655371	1.04	5.24	191	71.526306	45.0224
655372	1.04	5.28	174	50.286263	20.8176
655373	1.04	5.32	163	43.158165	15.6176
655374	1.04	5.36	158	40.13126	13.1984
655375	1.04	5.4	154	40.521576	13.8096
655376	1.04	5.44	149	40.65221	13.8448
655377	1.04	5.48	149	45.182354	16.939199
655379	1.04	5.56	213	104.11543	64.856003
655380	1.04	5.6	219	99.478401	58.495998
655381	1.04	5.64	228	97.976906	54.903999
655382	1.04	5.68	238	99.395859	54.068802
655383	1.04	5.72	244	98.362595	51.804798
655384	1.04	5.76	243	94.415054	48.214401
655385	1.04	5.8	249	96.081779	49.919998
655386	1.04	5.84	251	94.582077	47.883202
655387	1.04	5.88	263	103.27004	56.969601
655388	1.04	5.92	278	114.54057	66.804802
655389	1.04	5.96	422	479.3187	1093.4528
655390	1.04	6	435	512.56006	1198.8096
655391	1.04	6.04	260	99.806122	52.195202
655392	1.04	6.08	245	89.754799	44.1744
655393	1.04	6.12	237	86.903336	43.299198
655394	1.04	6.16	230	85.214706	43.187199
655395	1.04	6.2	226	87.20829	46.649601
655396	1.04	6.24	224	91.479836	51.872002
655397	1.04	6.28	224	97.737518	59.113602
655398	1.04	6.32	221	102.05476	64.420799
655399	1.04	6.36	222	110.06548	73.523201
655400	1.04	6.4	220	115.99121	80.251198
655401	1.04	6.44	36	6.2744389	1.3408
655402	1.04	6.48	36	5.3756485	1.0064
655403	1.04	6.52	65	18.366755	8.4927998
655404	1.04	6.56	57	14.743288	7.4591999
655405	1.04	6.6	37	5.0503135	0.81279999
655406	1.04	6.64	31	4.4612322	0.74400002
655408	1.04	6.72	18	2.0062213	0.2608
655409	1.04	6.76	29	4.2443638	0.83520001
655410	1.04	6.8	62	22.122965	12.3728
655416	1.04	7.04	78	17.31529	4.7168002
655417	1.04	7.08	82	16.922358	4.3968
655418	1.04	7.12	134	51.703262	32.113602
655419	1.04	7.16	129	48.897488	30.327999
655420	1.04	7.2	83	17.000641	4.3712001
655421	1.04	7.24	78	17.008938	4.5071998
655423	1.04	7.32	71	14.932616	3.8399999
655424	1.04	7.36	71	13.714247	3.3792
655425	1.04	7.4	71	13.088058	3.1487999
655426	1.04	7.44	71	13.088058	3.1487999
655427	1.04	7.48	71	13.714247	3.3792
655428	1.04	7.52	72	15.301398	3.9760001
655430	1.04	7.6	69	14.367953	3.6784
