Ref	x1	y1	x2	y2	Connectivity	Line Length
189	530348.818115	184670.043145	530754.964885	185059.353265	7	562.59894
190	530751.101941	185076.766671	530768.042714	185059.366534	0	24.284863
191	530958.127638	185054.782177	530999.561686	185101.458496	2	62.413612
192	530956.132728	185039.376138	530961.105876	185062.922141	2	24.065462
193	530952.798246	185046.640697	530997.089847	184990.071126	2	71.8461
194	530292.86417	185138.907267	530369.446508	185353.216185	2	227.58112
195	530279.260644	185168.084421	530370.209055	184973.016186	4	215.22832
196	530155.854559	184909.143223	530296.643458	184802.490186	2	176.62498
197	530239.94609	184831.289787	530402.572415	185038.392418	5	263.32266
198	530841.737233	184854.861003	530862.205515	184812.538912	2	47.011806
199	530790.470732	184816.859996	530843.634143	184854.734123	1	65.274788
200	530725.866309	184845.156464	530795.607182	184767.573259	3	104.32134
201	530627.898364	184730.199677	530825.968862	184953.642755	4	298.5946
202	530886.13816	185008.857925	530924.487493	184951.683697	2	68.84449
203	530860.25048	184990.316729	530910.065992	185023.946875	3	60.104675
204	530827.884295	185046.385296	530868.452527	184987.710817	2	71.333557
205	530826.941205	185042.789476	530872.665797	185075.360191	3	56.139023
206	530866.690618	185079.142828	530910.054337	185014.911405	3	77.498955
207	531280.890316	184879.402502	531418.783795	184696.340072	3	229.18652
208	531365.823685	184738.325775	531592.602283	184976.32175	6	328.74097
209	531322.135167	184916.836174	531466.210877	184798.168452	2	186.65433
210	531280.853377	184872.45794	531322.982463	184916.862454	3	61.209644
211	531090.741101	185101.170589	531309.993993	184900.48642	4	297.2305
212	531234.61837	185110.479476	531708.28843	184665.008406	9	650.23676
213	531591.429811	184870.226888	531810.671873	185019.826566	3	265.41882
214	531511.690054	184965.851921	531638.918754	184819.488073	3	193.93173
215	531650.40595	184916.131602	531692.994759	184867.946136	3	64.308983
216	531669.576573	184818.866063	531692.364738	184883.811849	3	68.827721
217	531678.822312	184868.493022	532025.313608	185074.747427	4	403.23331
218	531669.25716	185121.022557	531803.886243	184855.964934	6	297.28864
219	531659.197321	185112.299218	531865.325091	185232.910635	4	238.82162
220	531525.017578	185192.81948	531677.212366	185110.445739	6	173.05688
221	531361.980864	184957.783264	531551.411968	185185.055352	4	295.86609
222	531559.296851	184946.66585	531914.240265	185178.722739	4	424.06982
223	531495.587084	185514.328262	531683.190124	185202.326857	6	364.06012
224	531462.599703	185412.663349	531570.487702	185459.028287	4	117.42882
225	531511.293539	185374.141666	531543.598132	185479.127446	4	109.84353
226	531145.870079	184863.512077	531379.525038	185080.330385	4	318.7551
227	531313.34303	185456.733951	531364.882898	185058.167136	5	401.88538
228	531306.054288	185343.694337	531471.261897	185366.875736	4	166.82605
229	531447.432504	185362.212424	531528.024132	185383.603353	4	83.382149
230	531454.813342	185351.359118	531476.276843	185428.582597	4	80.15078
231	531385.807059	185499.287467	531481.151482	185416.937606	3	125.98436
232	531046.820419	185009.825167	531131.431446	185132.77165	5	149.24767
233	531638.789198	185048.329935	531659.257479	185006.007844	2	47.011806
234	531587.522697	185010.328928	531640.686107	185048.203055	1	65.274788
235	531522.918273	185038.625395	531592.659147	184961.042191	3	104.32134
236	531424.950328	184923.668608	531623.020826	185147.111687	3	298.5946
237	531683.190124	185202.326857	531721.539458	185145.152628	2	68.84449
238	531522.475126	185175.01268	531707.117957	185217.415806	4	189.4492
239	531190.971716	185002.716462	531271.956062	185081.113568	2	112.71455
240	531383.970056	186031.229354	531510.979479	185470.505352	6	574.92853
241	531394.31707	185715.840841	531446.57893	185494.621034	2	227.30927
242	531201.708933	185510.951124	531303.192797	185374.811772	3	169.80252
243	531179.130486	185309.154054	531945.523583	185894.409458	13	964.30402
244	531119.729967	185890.482946	531306.259495	185492.876981	4	439.18533
245	531199.143477	185429.404668	531363.921212	185531.668132	2	193.93173
246	531270.345734	185558.418033	531324.705449	185592.778869	3	64.308983
247	531308.942264	185594.686673	531369.423608	185561.834543	2	68.827721
248	531173.537681	185953.820275	531321.905785	185578.874941	4	403.23331
249	531071.081902	185609.697629	531458.962707	185734.036583	8	407.3226
250	530991.888039	185821.097506	531078.08961	185598.37557	6	238.82162
